transaction_id,user_id,transaction_date,transaction_time,transaction_type,transaction_category,amount,currency,transaction_status,payment_method,age_group,country,city,subscription_plan,fraud_flag,transaction_fee,revenue_generated,cashback_amount
TXN009301,USR43211,1/3/2023,7:57:39,Purchase,Entertainment,462.43,GBP,Successful,Apple Pay,25-34,United Kingdom,Glasgow,Plus,0,4.62,3.7,2.31
TXN014549,USR46275,1/3/2023,15:03:58,Purchase,Other,368.5,GBP,Successful,Card,18-24,United Kingdom,Bristol,Standard,0,5.53,4.42,0
TXN012333,USR64950,1/3/2023,1:59:41,Refund,Healthcare,312.42,EUR,Failed,Card,35-44,Italy,Rome,Standard,0,4.69,3.75,0
TXN005384,USR32713,1/3/2023,17:29:09,Purchase,Utilities,860.62,GBP,Successful,Card,18-24,United Kingdom,Manchester,Plus,0,8.61,6.89,4.3
TXN007792,USR51465,1/3/2023,10:31:24,Purchase,Healthcare,522.38,EUR,Successful,Card,55+,France,Lyon,Standard,0,7.84,6.27,0
TXN002521,USR32834,1/3/2023,20:36:23,Purchase,Healthcare,657.15,GBP,Successful,Bank Transfer,18-24,United Kingdom,Manchester,Plus,0,6.57,5.26,3.29
TXN009061,USR46467,1/3/2023,10:31:14,Purchase,Travel,76.82,USD,Successful,Bank Transfer,35-44,United States,New York,Standard,0,1.15,0.92,0
TXN006331,USR60052,1/3/2023,12:24:27,Top-up,Other,1507.7,EUR,Successful,Card,25-34,Germany,Frankfurt,Standard,0,22.62,18.1,0
TXN001276,USR64118,1/3/2023,9:28:02,Transfer,Shopping,3439.42,EUR,Successful,Card,35-44,Germany,Berlin,Plus,0,34.39,27.51,17.2
TXN014716,USR91927,1/3/2023,7:48:44,Purchase,Entertainment,1078.25,EUR,Successful,Card,35-44,France,Lyon,Metal,0,2.16,1.73,16.17
TXN011627,USR68743,1/3/2023,13:26:14,Transfer,Shopping,3222.52,EUR,Successful,Card,35-44,Spain,Valencia,Plus,0,32.23,25.78,16.11
TXN002725,USR95381,1/4/2023,22:31:38,Transfer,Travel,2460.53,EUR,Successful,Bank Transfer,35-44,Germany,Frankfurt,Standard,0,36.91,29.53,0
TXN006444,USR89395,1/4/2023,7:34:53,Refund,Shopping,54.33,GBP,Successful,Card,25-34,United Kingdom,Birmingham,Standard,0,0.81,0.65,0
TXN004462,USR94192,1/4/2023,16:48:53,Transfer,Food & Dining,4549.81,EUR,Successful,Google Pay,18-24,Spain,Madrid,Standard,0,68.25,54.6,0
TXN003715,USR80309,1/4/2023,20:26:58,Purchase,Healthcare,728.74,USD,Successful,Bank Transfer,35-44,United States,New York,Standard,0,10.93,8.74,0
TXN011629,USR62645,1/4/2023,6:14:07,Refund,Transfer,404.39,EUR,Successful,Card,55+,Spain,Madrid,Standard,0,6.07,4.86,0
TXN004505,USR21322,1/4/2023,20:16:57,Purchase,Entertainment,780.67,GBP,Successful,Google Pay,45-54,United Kingdom,Manchester,Plus,0,7.81,6.25,3.9
TXN014383,USR44967,1/4/2023,16:55:26,Purchase,Other,580.27,USD,Successful,Apple Pay,25-34,United States,Los Angeles,Standard,0,8.7,6.96,0
TXN010911,USR93695,1/4/2023,8:47:39,Purchase,Shopping,412.7,EUR,Successful,Bank Transfer,55+,Spain,Seville,Plus,0,4.13,3.3,2.06
TXN004131,USR96019,1/4/2023,4:41:09,Purchase,Transfer,779.34,EUR,Successful,Bank Transfer,45-54,Italy,Florence,Standard,0,11.69,9.35,0
TXN006787,USR89223,1/4/2023,11:45:01,Withdrawal,Other,1479.04,USD,Successful,Card,55+,United States,Miami,Premium,0,7.4,5.92,14.79
TXN006011,USR97414,1/4/2023,6:31:58,Purchase,Healthcare,614.88,EUR,Successful,Card,35-44,Italy,Milan,Standard,0,9.22,7.38,0
TXN013788,USR43330,1/4/2023,23:39:25,Transfer,Entertainment,523.32,GBP,Successful,Google Pay,25-34,United Kingdom,Birmingham,Standard,0,7.85,6.28,0
TXN012550,USR60972,1/4/2023,13:05:51,Purchase,Entertainment,486.92,EUR,Successful,Card,25-34,Germany,Munich,Plus,0,4.87,3.9,2.43
TXN012705,USR91762,1/4/2023,16:20:03,Purchase,Shopping,272.3,GBP,Successful,Card,35-44,United Kingdom,Birmingham,Plus,0,2.72,2.18,1.36
TXN003149,USR49438,1/4/2023,14:57:08,Purchase,Food & Dining,976.27,EUR,Successful,Card,18-24,Italy,Naples,Metal,0,1.95,1.56,14.64
TXN000641,USR96489,1/4/2023,17:25:50,Purchase,Travel,647.15,GBP,Successful,Apple Pay,55+,United Kingdom,Birmingham,Plus,0,6.47,5.18,3.24
TXN008846,USR54007,1/4/2023,2:28:28,Purchase,Entertainment,766.36,EUR,Successful,Card,25-34,Netherlands,Utrecht,Plus,0,7.66,6.13,3.83
TXN009148,USR61502,1/4/2023,4:40:39,Purchase,Transfer,505.48,EUR,Successful,Card,25-34,Germany,Munich,Standard,0,7.58,6.06,0
TXN009717,USR64875,1/4/2023,7:36:01,Purchase,Utilities,365.09,EUR,Successful,Card,55+,Germany,Hamburg,Plus,0,3.65,2.92,1.83
TXN000789,USR27947,1/4/2023,22:52:26,Purchase,Entertainment,646.08,GBP,Reversed,Apple Pay,18-24,United Kingdom,Glasgow,Plus,0,6.46,5.17,0
TXN010715,USR41991,1/4/2023,17:11:18,Transfer,Utilities,4719.94,EUR,Successful,Card,35-44,Italy,Rome,Plus,0,47.2,37.76,23.6
TXN003752,USR62757,1/4/2023,4:08:40,Purchase,Travel,608.61,GBP,Successful,Bank Transfer,18-24,United Kingdom,Liverpool,Standard,0,9.13,7.3,0
TXN001075,USR66720,1/4/2023,0:36:14,Purchase,Healthcare,507.42,EUR,Failed,Bank Transfer,35-44,Germany,Hamburg,Standard,0,7.61,6.09,0
TXN004242,USR62021,1/5/2023,11:11:25,Top-up,Entertainment,731.46,GBP,Successful,Bank Transfer,55+,United Kingdom,Edinburgh,Plus,0,7.31,5.85,3.66
TXN011832,USR92617,1/5/2023,13:46:12,Purchase,Travel,700.15,EUR,Successful,Bank Transfer,25-34,Netherlands,Amsterdam,Plus,0,7,5.6,3.5
TXN005758,USR83048,1/5/2023,16:51:36,Purchase,Food & Dining,784.1,EUR,Successful,Bank Transfer,25-34,Netherlands,Utrecht,Plus,0,7.84,6.27,3.92
TXN010474,USR53620,1/5/2023,14:43:20,Purchase,Food & Dining,506.85,EUR,Successful,Card,45-54,Italy,Naples,Standard,0,7.6,6.08,0
TXN005241,USR58784,1/5/2023,21:28:10,Purchase,Shopping,449.69,EUR,Successful,Card,35-44,France,Bordeaux,Standard,0,6.75,5.4,0
TXN007859,USR50065,1/5/2023,14:03:10,Top-up,Food & Dining,1878.4,GBP,Successful,Card,35-44,United Kingdom,Glasgow,Standard,0,28.18,22.54,0
TXN009816,USR72043,1/5/2023,13:33:11,Transfer,Entertainment,2991.4,EUR,Successful,Card,18-24,France,Paris,Plus,0,29.91,23.93,14.96
TXN003825,USR97643,1/5/2023,14:15:59,Transfer,Entertainment,5998.07,GBP,Failed,Bank Transfer,18-24,United Kingdom,Birmingham,Plus,0,59.98,47.98,
TXN002985,USR61127,1/5/2023,9:53:13,Purchase,Transfer,21.79,EUR,Successful,Bank Transfer,25-34,France,Lyon,Standard,0,0.33,0.26,0
TXN013507,USR91405,1/5/2023,8:46:22,Purchase,Travel,267.09,GBP,Successful,Card,35-44,United Kingdom,Liverpool,Standard,0,4.01,3.21,0
TXN002146,USR48196,1/5/2023,12:09:11,Purchase,Shopping,335.67,GBP,Successful,Bank Transfer,35-44,United Kingdom,Bristol,Plus,0,3.36,2.69,1.68
TXN006358,USR85292,1/5/2023,14:11:46,Purchase,Other,814.72,GBP,Successful,Bank Transfer,55+,United Kingdom,Glasgow,Plus,0,8.15,6.52,4.07
TXN011816,USR18658,1/5/2023,19:32:17,Transfer,Travel,3421.61,EUR,Successful,Card,25-34,Germany,Munich,Metal,0,6.84,5.47,51.32
TXN002309,USR96317,1/5/2023,20:09:00,Purchase,Food & Dining,675.06,EUR,Successful,Card,35-44,Germany,Berlin,Standard,0,10.13,8.1,0
TXN001805,USR43152,1/5/2023,19:34:20,Purchase,Shopping,607.7,GBP,Successful,Google Pay,35-44,United Kingdom,Manchester,Standard,0,9.12,7.3,0
TXN011844,USR23277,1/5/2023,8:32:21,Refund,Healthcare,193.93,EUR,Successful,Apple Pay,45-54,Spain,Barcelona,Standard,0,2.91,2.33,0
TXN000399,USR70076,1/5/2023,0:33:36,Top-up,Shopping,378.13,EUR,Successful,Bank Transfer,25-34,Italy,Florence,Metal,1,0.76,0.61,5.67
TXN014790,USR68707,1/5/2023,7:09:10,Transfer,Shopping,3751.02,EUR,Successful,Card,35-44,France,Lyon,Standard,0,56.27,45.02,0
TXN009927,USR98302,1/6/2023,0:35:52,Purchase,Shopping,316.89,USD,Successful,Apple Pay,35-44,United States,Los Angeles,Standard,0,4.75,3.8,0
TXN012139,USR63883,1/6/2023,16:55:43,Transfer,Other,3636.41,EUR,Successful,Google Pay,25-34,Germany,,Standard,0,54.55,43.64,0
TXN005511,USR28569,1/6/2023,15:52:33,Refund,Shopping,352.44,GBP,Successful,Apple Pay,25-34,United Kingdom,Manchester,Standard,0,5.29,4.23,0
TXN002490,USR12279,1/6/2023,7:00:57,Purchase,Other,74.43,EUR,Successful,Google Pay,35-44,Italy,Naples,Standard,0,1.12,0.9,0
TXN007564,USR78733,1/6/2023,10:30:35,Refund,Food & Dining,195.23,GBP,Failed,Card,18-24,United Kingdom,Leeds,Standard,0,2.93,2.34,
TXN000816,USR90199,1/6/2023,11:08:52,Purchase,Food & Dining,208.4,GBP,Successful,Bank Transfer,35-44,United Kingdom,London,Plus,0,2.08,1.66,1.04
TXN014943,USR63883,1/6/2023,16:54:01,Purchase,Entertainment,487.89,EUR,Successful,Card,25-34,Germany,Hamburg,Standard,0,7.32,5.86,0
TXN008206,USR69245,1/6/2023,22:25:00,Purchase,Travel,25.7,EUR,Successful,Bank Transfer,25-34,Netherlands,Amsterdam,Standard,0,0.39,0.31,0
TXN012323,USR61466,1/6/2023,21:55:07,Top-up,Utilities,1674.61,EUR,Failed,Direct Debit,18-24,Germany,Hamburg,Standard,0,25.12,20.1,
TXN000745,USR68632,1/6/2023,7:37:32,Purchase,Food & Dining,168.57,USD,Successful,Apple Pay,45-54,United States,Miami,Plus,0,1.69,1.35,0.84
TXN009766,USR13148,1/6/2023,13:24:08,Purchase,Food & Dining,311.13,GBP,Successful,Card,35-44,United Kingdom,Manchester,Standard,0,4.67,3.74,0
TXN012662,USR29382,1/6/2023,0:53:47,Top-up,Shopping,542.18,EUR,Successful,Bank Transfer,18-24,France,Paris,Premium,0,2.71,2.17,5.42
TXN007009,USR27677,1/6/2023,16:00:30,Purchase,Entertainment,255.3,GBP,Successful,Google Pay,25-34,United Kingdom,,Premium,0,1.28,1.02,2.55
TXN003428,USR55453,1/6/2023,9:08:55,Withdrawal,Travel,513.02,EUR,Successful,Google Pay,35-44,Germany,Berlin,Standard,0,7.7,6.16,0
TXN004979,USR73714,1/6/2023,14:12:05,Transfer,Healthcare,757.98,EUR,Reversed,Card,25-34,Germany,Hamburg,Standard,0,11.37,9.1,0
TXN008700,USR67127,1/6/2023,18:09:27,Top-up,Travel,1240.04,USD,Successful,Card,25-34,United States,New York,Standard,1,18.6,14.88,0
TXN005156,USR53610,1/7/2023,15:35:33,Purchase,Entertainment,350.24,EUR,Successful,Apple Pay,35-44,Netherlands,Rotterdam,Plus,0,3.5,2.8,1.75
TXN003430,USR78066,1/7/2023,17:40:24,Purchase,Utilities,655.49,EUR,Successful,Card,35-44,Italy,Naples,Standard,0,9.83,7.86,0
TXN014841,USR14501,1/7/2023,2:01:02,Top-up,Food & Dining,567.14,EUR,Successful,Google Pay,35-44,Germany,Munich,Plus,0,5.67,4.54,2.84
TXN011745,USR70625,1/7/2023,19:20:24,Withdrawal,Food & Dining,777.05,GBP,Successful,Card,35-44,United Kingdom,Birmingham,Plus,0,7.77,6.22,3.89
TXN011556,USR59310,1/7/2023,19:33:26,Purchase,Shopping,217.13,EUR,Successful,Card,45-54,Germany,Berlin,Standard,0,3.26,2.61,0
TXN000148,USR79924,1/7/2023,7:27:44,Withdrawal,Food & Dining,958.41,EUR,Successful,Card,18-24,France,Lyon,Plus,0,9.58,7.66,4.79
TXN004612,USR83519,1/7/2023,18:48:35,Purchase,Utilities,291.31,GBP,Reversed,Bank Transfer,18-24,United Kingdom,Glasgow,Plus,0,2.91,2.33,0
TXN006276,USR79193,1/7/2023,11:30:27,Transfer,Utilities,3098.47,GBP,Successful,Bank Transfer,25-34,United Kingdom,Liverpool,Standard,0,46.48,37.18,0
TXN001915,USR62939,1/7/2023,21:45:55,Top-up,Shopping,1455.38,EUR,Successful,Apple Pay,45-54,France,Bordeaux,Plus,0,14.55,11.64,7.28
TXN006078,USR49498,1/7/2023,8:00:59,Top-up,Healthcare,835.31,GBP,Successful,Apple Pay,35-44,United Kingdom,Manchester,Standard,0,12.53,10.02,0
TXN005541,USR15167,1/7/2023,1:36:16,Top-up,Utilities,2364.18,EUR,Successful,Card,25-34,Germany,Frankfurt,Premium,1,11.82,9.46,23.64
TXN005348,USR38119,1/7/2023,16:03:53,Top-up,Shopping,2109.38,GBP,Successful,Apple Pay,25-34,United Kingdom,Glasgow,Plus,0,21.09,16.87,10.55
TXN011531,USR60934,1/7/2023,17:09:20,Transfer,Food & Dining,1617.98,GBP,Successful,Google Pay,35-44,United Kingdom,London,Plus,0,16.18,12.94,8.09
TXN004698,USR35189,1/7/2023,16:57:45,Transfer,Food & Dining,4571.87,GBP,Successful,Card,55+,United Kingdom,Birmingham,Standard,1,68.58,54.86,0
TXN003684,USR52982,1/7/2023,2:25:39,Refund,Transfer,513.69,GBP,Reversed,Card,18-24,United Kingdom,Liverpool,Premium,0,2.57,2.06,
TXN000587,USR19071,1/7/2023,9:50:19,Purchase,Food & Dining,132.37,GBP,Successful,Card,55+,United Kingdom,Manchester,Standard,0,1.99,1.59,0
TXN003532,USR88398,1/7/2023,21:48:08,Purchase,Food & Dining,674.74,EUR,Successful,Card,35-44,Spain,Seville,Plus,0,6.75,5.4,3.37
TXN000052,USR69255,1/8/2023,2:38:41,Transfer,Travel,688.07,USD,Successful,Bank Transfer,45-54,United States,New York,Standard,0,10.32,8.26,0
TXN000664,USR64668,1/8/2023,2:33:28,Purchase,Utilities,499.08,EUR,Successful,Card,55+,France,Bordeaux,Premium,0,2.5,2,4.99
TXN011716,USR21142,1/8/2023,9:28:18,Top-up,Food & Dining,996.92,EUR,Successful,Apple Pay,45-54,Netherlands,Utrecht,Plus,0,9.97,7.98,4.98
TXN003271,USR96725,1/8/2023,16:57:58,Top-up,Travel,1058.92,GBP,Successful,Bank Transfer,25-34,United Kingdom,Birmingham,Standard,0,15.88,12.7,0
TXN014003,USR75735,1/8/2023,8:25:45,Top-up,Travel,864.98,EUR,Successful,Apple Pay,18-24,Germany,Berlin,Standard,0,12.97,10.38,0
TXN004991,USR35919,1/8/2023,2:45:46,Transfer,Entertainment,4008.27,GBP,Successful,Apple Pay,45-54,United Kingdom,Manchester,Standard,0,60.12,48.1,0
TXN004394,USR85886,1/8/2023,13:14:09,Top-up,Food & Dining,3581.69,EUR,Successful,Google Pay,25-34,Germany,Munich,Metal,0,7.16,5.73,53.73
TXN012930,USR78298,1/8/2023,19:17:37,Top-up,Entertainment,981.71,EUR,Successful,Google Pay,25-34,France,Bordeaux,Metal,0,1.96,1.57,14.73
TXN005715,USR89395,1/8/2023,11:41:59,Purchase,Food & Dining,96.53,GBP,Successful,Google Pay,25-34,United Kingdom,Birmingham,Standard,0,1.45,1.16,0
TXN012439,USR73871,1/8/2023,5:21:00,Top-up,Shopping,559.33,GBP,Failed,Card,35-44,United Kingdom,Birmingham,Premium,0,2.8,2.24,0
TXN001303,USR97323,1/8/2023,2:05:50,Withdrawal,Healthcare,1341.1,GBP,Successful,Card,45-54,United Kingdom,Glasgow,Metal,0,2.68,2.14,20.12
TXN004003,USR32040,1/8/2023,8:21:45,Transfer,Healthcare,1595.39,GBP,Failed,Bank Transfer,25-34,United Kingdom,Manchester,Metal,1,3.19,2.55,0
TXN004136,USR48630,1/8/2023,16:42:30,Purchase,Travel,682.17,GBP,Successful,Bank Transfer,18-24,United Kingdom,Glasgow,Standard,0,10.23,8.18,0
TXN008421,USR86595,1/8/2023,19:58:59,Purchase,Entertainment,758.23,GBP,Successful,Bank Transfer,35-44,United Kingdom,Liverpool,Standard,0,11.37,9.1,0
TXN008458,USR19108,1/8/2023,2:16:08,Top-up,Healthcare,350.35,EUR,Successful,Apple Pay,45-54,Germany,Frankfurt,Standard,0,5.26,4.21,0
TXN011959,USR94984,1/8/2023,18:31:45,Purchase,Entertainment,674.91,GBP,Successful,Apple Pay,18-24,United Kingdom,Bristol,Metal,0,1.35,1.08,10.12
TXN003707,USR56634,1/8/2023,16:34:15,Purchase,Travel,782.63,GBP,Successful,Bank Transfer,18-24,United Kingdom,Leeds,Standard,0,11.74,9.39,0
TXN001002,USR36931,1/8/2023,17:19:28,Purchase,Utilities,1125.7,EUR,Successful,Apple Pay,25-34,France,Bordeaux,Premium,0,5.63,4.5,11.26
TXN002051,USR14471,1/8/2023,4:57:10,Purchase,Shopping,476.76,USD,Successful,Google Pay,45-54,United States,Los Angeles,Standard,0,7.15,5.72,0
TXN012063,USR14514,1/8/2023,7:24:35,Transfer,Healthcare,751.56,GBP,Successful,Apple Pay,45-54,United Kingdom,Edinburgh,Standard,0,11.27,9.02,0
TXN007372,USR92402,1/8/2023,8:16:54,Transfer,Food & Dining,829.72,EUR,Successful,Google Pay,25-34,France,Bordeaux,Standard,0,12.45,9.96,0
TXN007623,USR99824,1/8/2023,18:17:41,Purchase,Food & Dining,418.62,GBP,Successful,Google Pay,35-44,United Kingdom,Glasgow,Standard,0,6.28,5.02,0
TXN014287,USR42541,1/8/2023,20:06:38,Purchase,Other,318.13,GBP,Successful,Bank Transfer,55+,United Kingdom,Liverpool,Premium,0,1.59,1.27,3.18
TXN002045,USR35486,1/8/2023,7:06:21,Purchase,Shopping,412.03,EUR,Successful,Bank Transfer,25-34,Germany,Berlin,Metal,0,0.82,0.66,6.18
TXN001675,USR94790,1/8/2023,11:34:13,Purchase,Shopping,740.08,EUR,Successful,Card,18-24,Netherlands,Utrecht,Standard,0,11.1,8.88,0
TXN009515,USR56771,1/9/2023,20:14:48,Purchase,Travel,763.79,GBP,Successful,Apple Pay,45-54,United Kingdom,Birmingham,Standard,0,11.46,9.17,0
TXN006637,USR25653,1/9/2023,23:40:27,Purchase,Shopping,43.99,GBP,Reversed,Direct Debit,18-24,United Kingdom,Birmingham,Standard,0,0.66,0.53,
TXN007801,USR27947,1/9/2023,15:30:33,Purchase,Healthcare,427.5,GBP,Successful,Bank Transfer,18-24,United Kingdom,Glasgow,Plus,0,4.28,3.42,2.14
TXN000787,USR54438,1/9/2023,13:42:02,Purchase,Healthcare,628.45,GBP,Successful,Google Pay,55+,United Kingdom,Liverpool,Plus,1,6.28,5.02,3.14
TXN002148,USR18799,1/9/2023,19:45:02,Purchase,Utilities,451.09,GBP,Successful,Apple Pay,18-24,United Kingdom,,Plus,0,4.51,3.61,2.26
TXN014558,USR87973,1/9/2023,11:41:08,Purchase,Healthcare,441.96,GBP,Successful,Card,18-24,United Kingdom,Liverpool,Standard,0,6.63,5.3,0
TXN011662,USR53684,1/9/2023,0:28:32,Purchase,Food & Dining,791.91,EUR,Successful,Card,45-54,Spain,Valencia,Standard,0,11.88,9.5,0
TXN003156,USR17053,1/9/2023,18:21:22,Purchase,Entertainment,519.59,EUR,Successful,Google Pay,25-34,Italy,Milan,Standard,0,7.79,6.23,0
TXN005924,USR94278,1/9/2023,0:33:04,Top-up,Transfer,1562.5,EUR,Successful,Google Pay,35-44,Spain,Valencia,Plus,0,15.62,12.5,7.81
TXN006349,USR80943,1/9/2023,17:27:58,Withdrawal,Shopping,270.77,GBP,Successful,Card,35-44,United Kingdom,Glasgow,Standard,0,4.06,3.25,0
TXN001015,USR98251,1/9/2023,8:27:51,Refund,Transfer,254.33,EUR,Successful,Card,55+,Italy,Naples,Plus,0,2.54,2.03,1.27
TXN011539,USR25549,1/9/2023,9:13:21,Transfer,Utilities,993.4,EUR,Failed,Direct Debit,18-24,Netherlands,Utrecht,Standard,0,14.9,11.92,0
TXN004022,USR26351,1/9/2023,13:51:05,Purchase,Food & Dining,759.16,EUR,Failed,Card,25-34,France,Paris,Standard,0,11.39,9.11,0
TXN008485,USR52899,1/9/2023,19:05:50,Purchase,Other,381.58,EUR,Failed,Card,18-24,France,Marseille,Premium,0,1.91,1.53,0
TXN002923,USR51756,1/9/2023,14:30:33,Purchase,Shopping,64.82,EUR,Reversed,Card,35-44,France,Bordeaux,Standard,0,0.97,0.78,0
TXN009634,USR27474,1/9/2023,15:07:45,Transfer,Shopping,4768.84,EUR,Successful,Apple Pay,25-34,Spain,Barcelona,Standard,0,71.53,57.22,0
TXN009850,USR89635,1/9/2023,9:30:58,Purchase,Travel,452.42,USD,Successful,Apple Pay,35-44,United States,Los Angeles,Metal,0,0.9,0.72,6.79
TXN012151,USR46275,1/9/2023,15:15:19,Purchase,Healthcare,348.77,GBP,Successful,Card,18-24,United Kingdom,Bristol,Standard,0,5.23,4.18,0
TXN007392,USR13581,1/9/2023,9:18:01,Transfer,Food & Dining,2142.37,GBP,Successful,Bank Transfer,35-44,United Kingdom,London,Premium,0,10.71,8.57,21.42
TXN002604,USR40386,1/9/2023,12:06:36,Purchase,Entertainment,643.97,USD,Successful,Apple Pay,55+,United States,Miami,Standard,0,9.66,7.73,0
TXN012701,USR58977,1/9/2023,15:24:03,Purchase,Utilities,650.98,EUR,Successful,Apple Pay,35-44,Netherlands,Rotterdam,Standard,0,9.76,7.81,0
