transaction_id,user_id,transaction_date,transaction_time,transaction_type,transaction_category,amount,currency,transaction_status,payment_method,age_group,country,city,subscription_plan,fraud_flag,transaction_fee,revenue_generated,cashback_amount,year,month,month_name,day_of_week,hour
TXN002489,USR42266,2023-01-01,17:25:38,Purchase,Transfer,255.35,USD,Successful,Card,35-44,United States,New York,Standard,0,3.83,3.06,0.0,2023,1,January,Sunday,17
TXN013332,USR32786,2023-01-01,13:51:19,Top-up,Food & Dining,1692.19,USD,Successful,Card,25-34,United States,Chicago,Plus,0,16.92,13.54,8.46,2023,1,January,Sunday,13
TXN000485,USR63903,2023-01-01,14:34:27,Purchase,Food & Dining,898.32,GBP,Reversed,Apple Pay,18-24,United Kingdom,London,Premium,0,4.49,3.59,0.0,2023,1,January,Sunday,14
TXN010742,USR81149,2023-01-02,21:31:31,Purchase,Healthcare,265.82,GBP,Successful,Bank Transfer,35-44,United Kingdom,Liverpool,Standard,0,3.99,3.19,0.0,2023,1,January,Monday,21
TXN012330,USR35198,2023-01-02,18:31:42,Purchase,Food & Dining,191.41,EUR,Successful,Apple Pay,35-44,Germany,Berlin,Plus,0,1.91,1.53,0.96,2023,1,January,Monday,18
TXN008308,USR86238,2023-01-02,8:54:26,Transfer,Food & Dining,2393.85,EUR,Successful,Card,18-24,Spain,Madrid,Premium,0,11.97,9.58,23.94,2023,1,January,Monday,8
TXN003792,USR38204,2023-01-02,14:03:19,Refund,Travel,382.14,GBP,Failed,Bank Transfer,35-44,United Kingdom,Birmingham,Standard,0,5.73,4.58,0.0,2023,1,January,Monday,14
TXN013023,USR10679,2023-01-02,15:04:27,Top-up,Utilities,2315.31,EUR,Successful,Card,55+,Spain,Madrid,Plus,0,23.15,18.52,11.58,2023,1,January,Monday,15
TXN004198,USR19392,2023-01-02,22:00:35,Purchase,Travel,862.58,EUR,Successful,Card,25-34,Spain,Valencia,Plus,0,8.63,6.9,4.31,2023,1,January,Monday,22
TXN013979,USR33351,2023-01-02,12:40:07,Transfer,Shopping,2298.43,EUR,Successful,Google Pay,35-44,Germany,Berlin,Standard,0,34.48,27.58,0.0,2023,1,January,Monday,12
TXN011380,USR47375,2023-01-02,8:49:47,Purchase,Entertainment,453.53,GBP,Failed,Bank Transfer,25-34,United Kingdom,Bristol,Standard,0,6.8,5.44,0.0,2023,1,January,Monday,8
TXN009006,USR97823,2023-01-02,17:53:03,Transfer,Healthcare,4415.08,GBP,Successful,Direct Debit,Unknown,United Kingdom,Edinburgh,Premium,0,22.08,17.66,44.15,2023,1,January,Monday,17
TXN004010,USR93724,2023-01-02,3:36:05,Purchase,Travel,209.2,EUR,Successful,Card,25-34,France,Paris,Standard,0,3.14,2.51,0.0,2023,1,January,Monday,3
TXN008826,USR29073,2023-01-02,3:56:57,Top-up,Transfer,220.68,EUR,Successful,Apple Pay,35-44,France,Paris,Standard,0,3.31,2.65,0.0,2023,1,January,Monday,3
TXN009624,USR46467,2023-01-02,5:14:18,Purchase,Travel,246.63,USD,Successful,Apple Pay,35-44,United States,New York,Standard,0,3.7,2.96,0.0,2023,1,January,Monday,5
TXN014336,USR72242,2023-01-02,18:45:37,Purchase,Uncategorised,302.11,GBP,Failed,Card,Unknown,United Kingdom,Glasgow,Premium,1,1.51,1.21,0.0,2023,1,January,Monday,18
TXN006568,USR42151,2023-01-03,7:34:55,Transfer,Transfer,6075.41,EUR,Failed,Google Pay,25-34,Germany,Hamburg,Premium,0,30.38,24.3,0.0,2023,1,January,Tuesday,7
TXN008252,USR28909,2023-01-03,10:43:47,Top-up,Travel,746.43,EUR,Failed,Apple Pay,18-24,Netherlands,Utrecht,Metal,0,1.49,1.19,0.0,2023,1,January,Tuesday,10
TXN009247,USR10832,2023-01-03,14:19:44,Purchase,Shopping,370.54,USD,Successful,Card,18-24,United States,New York,Premium,0,1.85,1.48,3.71,2023,1,January,Tuesday,14
TXN011841,USR20852,2023-01-03,18:13:27,Purchase,Healthcare,87.1,EUR,Failed,Bank Transfer,25-34,France,Paris,Standard,0,1.31,1.05,0.0,2023,1,January,Tuesday,18
TXN013232,USR76265,2023-01-03,4:37:00,Transfer,Travel,746.7,EUR,Successful,Apple Pay,45-54,Germany,Berlin,Plus,0,7.47,5.98,3.73,2023,1,January,Tuesday,4
TXN009824,USR53425,2023-01-03,8:36:05,Purchase,Food & Dining,270.51,GBP,Reversed,Card,45-54,United Kingdom,Bristol,Plus,1,2.71,2.17,0.0,2023,1,January,Tuesday,8
TXN009301,USR43211,2023-01-03,7:57:39,Purchase,Entertainment,462.43,GBP,Successful,Apple Pay,25-34,United Kingdom,Glasgow,Plus,0,4.62,3.7,2.31,2023,1,January,Tuesday,7
TXN014549,USR46275,2023-01-03,15:03:58,Purchase,Other,368.5,GBP,Successful,Card,18-24,United Kingdom,Bristol,Standard,0,5.53,4.42,0.0,2023,1,January,Tuesday,15
TXN012333,USR64950,2023-01-03,1:59:41,Refund,Healthcare,312.42,EUR,Failed,Card,35-44,Italy,Rome,Standard,0,4.69,3.75,0.0,2023,1,January,Tuesday,1
TXN005384,USR32713,2023-01-03,17:29:09,Purchase,Utilities,860.62,GBP,Successful,Card,18-24,United Kingdom,Manchester,Plus,0,8.61,6.89,4.3,2023,1,January,Tuesday,17
TXN007792,USR51465,2023-01-03,10:31:24,Purchase,Healthcare,522.38,EUR,Successful,Card,55+,France,Lyon,Standard,0,7.84,6.27,0.0,2023,1,January,Tuesday,10
TXN002521,USR32834,2023-01-03,20:36:23,Purchase,Healthcare,657.15,GBP,Successful,Bank Transfer,18-24,United Kingdom,Manchester,Plus,0,6.57,5.26,3.29,2023,1,January,Tuesday,20
TXN009061,USR46467,2023-01-03,10:31:14,Purchase,Travel,76.82,USD,Successful,Bank Transfer,35-44,United States,New York,Standard,0,1.15,0.92,0.0,2023,1,January,Tuesday,10
TXN006331,USR60052,2023-01-03,12:24:27,Top-up,Other,1507.7,EUR,Successful,Card,25-34,Germany,Frankfurt,Standard,0,22.62,18.1,0.0,2023,1,January,Tuesday,12
TXN001276,USR64118,2023-01-03,9:28:02,Transfer,Shopping,3439.42,EUR,Successful,Card,35-44,Germany,Berlin,Plus,0,34.39,27.51,17.2,2023,1,January,Tuesday,9
TXN014716,USR91927,2023-01-03,7:48:44,Purchase,Entertainment,1078.25,EUR,Successful,Card,35-44,France,Lyon,Metal,0,2.16,1.73,16.17,2023,1,January,Tuesday,7
TXN011627,USR68743,2023-01-03,13:26:14,Transfer,Shopping,3222.52,EUR,Successful,Card,35-44,Spain,Valencia,Plus,0,32.23,25.78,16.11,2023,1,January,Tuesday,13
TXN002725,USR95381,2023-01-04,22:31:38,Transfer,Travel,2460.53,EUR,Successful,Bank Transfer,35-44,Germany,Frankfurt,Standard,0,36.91,29.53,0.0,2023,1,January,Wednesday,22
TXN006444,USR89395,2023-01-04,7:34:53,Refund,Shopping,54.33,GBP,Successful,Card,25-34,United Kingdom,Birmingham,Standard,0,0.81,0.65,0.0,2023,1,January,Wednesday,7
TXN004462,USR94192,2023-01-04,16:48:53,Transfer,Food & Dining,4549.81,EUR,Successful,Google Pay,18-24,Spain,Madrid,Standard,0,68.25,54.6,0.0,2023,1,January,Wednesday,16
TXN003715,USR80309,2023-01-04,20:26:58,Purchase,Healthcare,728.74,USD,Successful,Bank Transfer,35-44,United States,New York,Standard,0,10.93,8.74,0.0,2023,1,January,Wednesday,20
TXN011629,USR62645,2023-01-04,6:14:07,Refund,Transfer,404.39,EUR,Successful,Card,55+,Spain,Madrid,Standard,0,6.07,4.86,0.0,2023,1,January,Wednesday,6
TXN004505,USR21322,2023-01-04,20:16:57,Purchase,Entertainment,780.67,GBP,Successful,Google Pay,45-54,United Kingdom,Manchester,Plus,0,7.81,6.25,3.9,2023,1,January,Wednesday,20
TXN014383,USR44967,2023-01-04,16:55:26,Purchase,Other,580.27,USD,Successful,Apple Pay,25-34,United States,Los Angeles,Standard,0,8.7,6.96,0.0,2023,1,January,Wednesday,16
TXN010911,USR93695,2023-01-04,8:47:39,Purchase,Shopping,412.7,EUR,Successful,Bank Transfer,55+,Spain,Seville,Plus,0,4.13,3.3,2.06,2023,1,January,Wednesday,8
TXN004131,USR96019,2023-01-04,4:41:09,Purchase,Transfer,779.34,EUR,Successful,Bank Transfer,45-54,Italy,Florence,Standard,0,11.69,9.35,0.0,2023,1,January,Wednesday,4
TXN006787,USR89223,2023-01-04,11:45:01,Withdrawal,Other,1479.04,USD,Successful,Card,55+,United States,Miami,Premium,0,7.4,5.92,14.79,2023,1,January,Wednesday,11
TXN006011,USR97414,2023-01-04,6:31:58,Purchase,Healthcare,614.88,EUR,Successful,Card,35-44,Italy,Milan,Standard,0,9.22,7.38,0.0,2023,1,January,Wednesday,6
TXN013788,USR43330,2023-01-04,23:39:25,Transfer,Entertainment,523.32,GBP,Successful,Google Pay,25-34,United Kingdom,Birmingham,Standard,0,7.85,6.28,0.0,2023,1,January,Wednesday,23
TXN012550,USR60972,2023-01-04,13:05:51,Purchase,Entertainment,486.92,EUR,Successful,Card,25-34,Germany,Munich,Plus,0,4.87,3.9,2.43,2023,1,January,Wednesday,13
TXN012705,USR91762,2023-01-04,16:20:03,Purchase,Shopping,272.3,GBP,Successful,Card,35-44,United Kingdom,Birmingham,Plus,0,2.72,2.18,1.36,2023,1,January,Wednesday,16
TXN003149,USR49438,2023-01-04,14:57:08,Purchase,Food & Dining,976.27,EUR,Successful,Card,18-24,Italy,Naples,Metal,0,1.95,1.56,14.64,2023,1,January,Wednesday,14
TXN000641,USR96489,2023-01-04,17:25:50,Purchase,Travel,647.15,GBP,Successful,Apple Pay,55+,United Kingdom,Birmingham,Plus,0,6.47,5.18,3.24,2023,1,January,Wednesday,17
TXN008846,USR54007,2023-01-04,2:28:28,Purchase,Entertainment,766.36,EUR,Successful,Card,25-34,Netherlands,Utrecht,Plus,0,7.66,6.13,3.83,2023,1,January,Wednesday,2
TXN009148,USR61502,2023-01-04,4:40:39,Purchase,Transfer,505.48,EUR,Successful,Card,25-34,Germany,Munich,Standard,0,7.58,6.06,0.0,2023,1,January,Wednesday,4
TXN009717,USR64875,2023-01-04,7:36:01,Purchase,Utilities,365.09,EUR,Successful,Card,55+,Germany,Hamburg,Plus,0,3.65,2.92,1.83,2023,1,January,Wednesday,7
TXN000789,USR27947,2023-01-04,22:52:26,Purchase,Entertainment,646.08,GBP,Reversed,Apple Pay,18-24,United Kingdom,Glasgow,Plus,0,6.46,5.17,0.0,2023,1,January,Wednesday,22
TXN010715,USR41991,2023-01-04,17:11:18,Transfer,Utilities,4719.94,EUR,Successful,Card,35-44,Italy,Rome,Plus,0,47.2,37.76,23.6,2023,1,January,Wednesday,17
TXN003752,USR62757,2023-01-04,4:08:40,Purchase,Travel,608.61,GBP,Successful,Bank Transfer,18-24,United Kingdom,Liverpool,Standard,0,9.13,7.3,0.0,2023,1,January,Wednesday,4
TXN001075,USR66720,2023-01-04,0:36:14,Purchase,Healthcare,507.42,EUR,Failed,Bank Transfer,35-44,Germany,Hamburg,Standard,0,7.61,6.09,0.0,2023,1,January,Wednesday,0
TXN004242,USR62021,2023-01-05,11:11:25,Top-up,Entertainment,731.46,GBP,Successful,Bank Transfer,55+,United Kingdom,Edinburgh,Plus,0,7.31,5.85,3.66,2023,1,January,Thursday,11
TXN011832,USR92617,2023-01-05,13:46:12,Purchase,Travel,700.15,EUR,Successful,Bank Transfer,25-34,Netherlands,Amsterdam,Plus,0,7.0,5.6,3.5,2023,1,January,Thursday,13
TXN005758,USR83048,2023-01-05,16:51:36,Purchase,Food & Dining,784.1,EUR,Successful,Bank Transfer,25-34,Netherlands,Utrecht,Plus,0,7.84,6.27,3.92,2023,1,January,Thursday,16
TXN010474,USR53620,2023-01-05,14:43:20,Purchase,Food & Dining,506.85,EUR,Successful,Card,45-54,Italy,Naples,Standard,0,7.6,6.08,0.0,2023,1,January,Thursday,14
TXN005241,USR58784,2023-01-05,21:28:10,Purchase,Shopping,449.69,EUR,Successful,Card,35-44,France,Bordeaux,Standard,0,6.75,5.4,0.0,2023,1,January,Thursday,21
TXN007859,USR50065,2023-01-05,14:03:10,Top-up,Food & Dining,1878.4,GBP,Successful,Card,35-44,United Kingdom,Glasgow,Standard,0,28.18,22.54,0.0,2023,1,January,Thursday,14
TXN009816,USR72043,2023-01-05,13:33:11,Transfer,Entertainment,2991.4,EUR,Successful,Card,18-24,France,Paris,Plus,0,29.91,23.93,14.96,2023,1,January,Thursday,13
TXN003825,USR97643,2023-01-05,14:15:59,Transfer,Entertainment,5998.07,GBP,Failed,Bank Transfer,18-24,United Kingdom,Birmingham,Plus,0,59.98,47.98,0.0,2023,1,January,Thursday,14
TXN002985,USR61127,2023-01-05,9:53:13,Purchase,Transfer,21.79,EUR,Successful,Bank Transfer,25-34,France,Lyon,Standard,0,0.33,0.26,0.0,2023,1,January,Thursday,9
TXN013507,USR91405,2023-01-05,8:46:22,Purchase,Travel,267.09,GBP,Successful,Card,35-44,United Kingdom,Liverpool,Standard,0,4.01,3.21,0.0,2023,1,January,Thursday,8
TXN002146,USR48196,2023-01-05,12:09:11,Purchase,Shopping,335.67,GBP,Successful,Bank Transfer,35-44,United Kingdom,Bristol,Plus,0,3.36,2.69,1.68,2023,1,January,Thursday,12
TXN006358,USR85292,2023-01-05,14:11:46,Purchase,Other,814.72,GBP,Successful,Bank Transfer,55+,United Kingdom,Glasgow,Plus,0,8.15,6.52,4.07,2023,1,January,Thursday,14
TXN011816,USR18658,2023-01-05,19:32:17,Transfer,Travel,3421.61,EUR,Successful,Card,25-34,Germany,Munich,Metal,0,6.84,5.47,51.32,2023,1,January,Thursday,19
TXN002309,USR96317,2023-01-05,20:09:00,Purchase,Food & Dining,675.06,EUR,Successful,Card,35-44,Germany,Berlin,Standard,0,10.13,8.1,0.0,2023,1,January,Thursday,20
TXN001805,USR43152,2023-01-05,19:34:20,Purchase,Shopping,607.7,GBP,Successful,Google Pay,35-44,United Kingdom,Manchester,Standard,0,9.12,7.3,0.0,2023,1,January,Thursday,19
TXN011844,USR23277,2023-01-05,8:32:21,Refund,Healthcare,193.93,EUR,Successful,Apple Pay,45-54,Spain,Barcelona,Standard,0,2.91,2.33,0.0,2023,1,January,Thursday,8
TXN000399,USR70076,2023-01-05,0:33:36,Top-up,Shopping,378.13,EUR,Successful,Bank Transfer,25-34,Italy,Florence,Metal,1,0.76,0.61,5.67,2023,1,January,Thursday,0
TXN014790,USR68707,2023-01-05,7:09:10,Transfer,Shopping,3751.02,EUR,Successful,Card,35-44,France,Lyon,Standard,0,56.27,45.02,0.0,2023,1,January,Thursday,7
TXN009927,USR98302,2023-01-06,0:35:52,Purchase,Shopping,316.89,USD,Successful,Apple Pay,35-44,United States,Los Angeles,Standard,0,4.75,3.8,0.0,2023,1,January,Friday,0
TXN012139,USR63883,2023-01-06,16:55:43,Transfer,Other,3636.41,EUR,Successful,Google Pay,25-34,Germany,Unknown,Standard,0,54.55,43.64,0.0,2023,1,January,Friday,16
TXN005511,USR28569,2023-01-06,15:52:33,Refund,Shopping,352.44,GBP,Successful,Apple Pay,25-34,United Kingdom,Manchester,Standard,0,5.29,4.23,0.0,2023,1,January,Friday,15
TXN002490,USR12279,2023-01-06,7:00:57,Purchase,Other,74.43,EUR,Successful,Google Pay,35-44,Italy,Naples,Standard,0,1.12,0.9,0.0,2023,1,January,Friday,7
TXN007564,USR78733,2023-01-06,10:30:35,Refund,Food & Dining,195.23,GBP,Failed,Card,18-24,United Kingdom,Leeds,Standard,0,2.93,2.34,0.0,2023,1,January,Friday,10
TXN000816,USR90199,2023-01-06,11:08:52,Purchase,Food & Dining,208.4,GBP,Successful,Bank Transfer,35-44,United Kingdom,London,Plus,0,2.08,1.66,1.04,2023,1,January,Friday,11
TXN014943,USR63883,2023-01-06,16:54:01,Purchase,Entertainment,487.89,EUR,Successful,Card,25-34,Germany,Hamburg,Standard,0,7.32,5.86,0.0,2023,1,January,Friday,16
TXN008206,USR69245,2023-01-06,22:25:00,Purchase,Travel,25.7,EUR,Successful,Bank Transfer,25-34,Netherlands,Amsterdam,Standard,0,0.39,0.31,0.0,2023,1,January,Friday,22
TXN012323,USR61466,2023-01-06,21:55:07,Top-up,Utilities,1674.61,EUR,Failed,Direct Debit,18-24,Germany,Hamburg,Standard,0,25.12,20.1,0.0,2023,1,January,Friday,21
TXN000745,USR68632,2023-01-06,7:37:32,Purchase,Food & Dining,168.57,USD,Successful,Apple Pay,45-54,United States,Miami,Plus,0,1.69,1.35,0.84,2023,1,January,Friday,7
TXN009766,USR13148,2023-01-06,13:24:08,Purchase,Food & Dining,311.13,GBP,Successful,Card,35-44,United Kingdom,Manchester,Standard,0,4.67,3.74,0.0,2023,1,January,Friday,13
TXN012662,USR29382,2023-01-06,0:53:47,Top-up,Shopping,542.18,EUR,Successful,Bank Transfer,18-24,France,Paris,Premium,0,2.71,2.17,5.42,2023,1,January,Friday,0
TXN007009,USR27677,2023-01-06,16:00:30,Purchase,Entertainment,255.3,GBP,Successful,Google Pay,25-34,United Kingdom,Unknown,Premium,0,1.28,1.02,2.55,2023,1,January,Friday,16
TXN003428,USR55453,2023-01-06,9:08:55,Withdrawal,Travel,513.02,EUR,Successful,Google Pay,35-44,Germany,Berlin,Standard,0,7.7,6.16,0.0,2023,1,January,Friday,9
TXN004979,USR73714,2023-01-06,14:12:05,Transfer,Healthcare,757.98,EUR,Reversed,Card,25-34,Germany,Hamburg,Standard,0,11.37,9.1,0.0,2023,1,January,Friday,14
TXN008700,USR67127,2023-01-06,18:09:27,Top-up,Travel,1240.04,USD,Successful,Card,25-34,United States,New York,Standard,1,18.6,14.88,0.0,2023,1,January,Friday,18
TXN005156,USR53610,2023-01-07,15:35:33,Purchase,Entertainment,350.24,EUR,Successful,Apple Pay,35-44,Netherlands,Rotterdam,Plus,0,3.5,2.8,1.75,2023,1,January,Saturday,15
TXN003430,USR78066,2023-01-07,17:40:24,Purchase,Utilities,655.49,EUR,Successful,Card,35-44,Italy,Naples,Standard,0,9.83,7.86,0.0,2023,1,January,Saturday,17
TXN014841,USR14501,2023-01-07,2:01:02,Top-up,Food & Dining,567.14,EUR,Successful,Google Pay,35-44,Germany,Munich,Plus,0,5.67,4.54,2.84,2023,1,January,Saturday,2
TXN011745,USR70625,2023-01-07,19:20:24,Withdrawal,Food & Dining,777.05,GBP,Successful,Card,35-44,United Kingdom,Birmingham,Plus,0,7.77,6.22,3.89,2023,1,January,Saturday,19
TXN011556,USR59310,2023-01-07,19:33:26,Purchase,Shopping,217.13,EUR,Successful,Card,45-54,Germany,Berlin,Standard,0,3.26,2.61,0.0,2023,1,January,Saturday,19
TXN000148,USR79924,2023-01-07,7:27:44,Withdrawal,Food & Dining,958.41,EUR,Successful,Card,18-24,France,Lyon,Plus,0,9.58,7.66,4.79,2023,1,January,Saturday,7
TXN004612,USR83519,2023-01-07,18:48:35,Purchase,Utilities,291.31,GBP,Reversed,Bank Transfer,18-24,United Kingdom,Glasgow,Plus,0,2.91,2.33,0.0,2023,1,January,Saturday,18
TXN006276,USR79193,2023-01-07,11:30:27,Transfer,Utilities,3098.47,GBP,Successful,Bank Transfer,25-34,United Kingdom,Liverpool,Standard,0,46.48,37.18,0.0,2023,1,January,Saturday,11
TXN001915,USR62939,2023-01-07,21:45:55,Top-up,Shopping,1455.38,EUR,Successful,Apple Pay,45-54,France,Bordeaux,Plus,0,14.55,11.64,7.28,2023,1,January,Saturday,21
TXN006078,USR49498,2023-01-07,8:00:59,Top-up,Healthcare,835.31,GBP,Successful,Apple Pay,35-44,United Kingdom,Manchester,Standard,0,12.53,10.02,0.0,2023,1,January,Saturday,8
TXN005541,USR15167,2023-01-07,1:36:16,Top-up,Utilities,2364.18,EUR,Successful,Card,25-34,Germany,Frankfurt,Premium,1,11.82,9.46,23.64,2023,1,January,Saturday,1
TXN005348,USR38119,2023-01-07,16:03:53,Top-up,Shopping,2109.38,GBP,Successful,Apple Pay,25-34,United Kingdom,Glasgow,Plus,0,21.09,16.87,10.55,2023,1,January,Saturday,16
TXN011531,USR60934,2023-01-07,17:09:20,Transfer,Food & Dining,1617.98,GBP,Successful,Google Pay,35-44,United Kingdom,London,Plus,0,16.18,12.94,8.09,2023,1,January,Saturday,17
TXN004698,USR35189,2023-01-07,16:57:45,Transfer,Food & Dining,4571.87,GBP,Successful,Card,55+,United Kingdom,Birmingham,Standard,1,68.58,54.86,0.0,2023,1,January,Saturday,16
TXN003684,USR52982,2023-01-07,2:25:39,Refund,Transfer,513.69,GBP,Reversed,Card,18-24,United Kingdom,Liverpool,Premium,0,2.57,2.06,0.0,2023,1,January,Saturday,2
TXN000587,USR19071,2023-01-07,9:50:19,Purchase,Food & Dining,132.37,GBP,Successful,Card,55+,United Kingdom,Manchester,Standard,0,1.99,1.59,0.0,2023,1,January,Saturday,9
TXN003532,USR88398,2023-01-07,21:48:08,Purchase,Food & Dining,674.74,EUR,Successful,Card,35-44,Spain,Seville,Plus,0,6.75,5.4,3.37,2023,1,January,Saturday,21
TXN000052,USR69255,2023-01-08,2:38:41,Transfer,Travel,688.07,USD,Successful,Bank Transfer,45-54,United States,New York,Standard,0,10.32,8.26,0.0,2023,1,January,Sunday,2
TXN000664,USR64668,2023-01-08,2:33:28,Purchase,Utilities,499.08,EUR,Successful,Card,55+,France,Bordeaux,Premium,0,2.5,2.0,4.99,2023,1,January,Sunday,2
TXN011716,USR21142,2023-01-08,9:28:18,Top-up,Food & Dining,996.92,EUR,Successful,Apple Pay,45-54,Netherlands,Utrecht,Plus,0,9.97,7.98,4.98,2023,1,January,Sunday,9
TXN003271,USR96725,2023-01-08,16:57:58,Top-up,Travel,1058.92,GBP,Successful,Bank Transfer,25-34,United Kingdom,Birmingham,Standard,0,15.88,12.7,0.0,2023,1,January,Sunday,16
TXN014003,USR75735,2023-01-08,8:25:45,Top-up,Travel,864.98,EUR,Successful,Apple Pay,18-24,Germany,Berlin,Standard,0,12.97,10.38,0.0,2023,1,January,Sunday,8
TXN004991,USR35919,2023-01-08,2:45:46,Transfer,Entertainment,4008.27,GBP,Successful,Apple Pay,45-54,United Kingdom,Manchester,Standard,0,60.12,48.1,0.0,2023,1,January,Sunday,2
TXN004394,USR85886,2023-01-08,13:14:09,Top-up,Food & Dining,3581.69,EUR,Successful,Google Pay,25-34,Germany,Munich,Metal,0,7.16,5.73,53.73,2023,1,January,Sunday,13
TXN012930,USR78298,2023-01-08,19:17:37,Top-up,Entertainment,981.71,EUR,Successful,Google Pay,25-34,France,Bordeaux,Metal,0,1.96,1.57,14.73,2023,1,January,Sunday,19
TXN005715,USR89395,2023-01-08,11:41:59,Purchase,Food & Dining,96.53,GBP,Successful,Google Pay,25-34,United Kingdom,Birmingham,Standard,0,1.45,1.16,0.0,2023,1,January,Sunday,11
TXN012439,USR73871,2023-01-08,5:21:00,Top-up,Shopping,559.33,GBP,Failed,Card,35-44,United Kingdom,Birmingham,Premium,0,2.8,2.24,0.0,2023,1,January,Sunday,5
TXN001303,USR97323,2023-01-08,2:05:50,Withdrawal,Healthcare,1341.1,GBP,Successful,Card,45-54,United Kingdom,Glasgow,Metal,0,2.68,2.14,20.12,2023,1,January,Sunday,2
TXN004003,USR32040,2023-01-08,8:21:45,Transfer,Healthcare,1595.39,GBP,Failed,Bank Transfer,25-34,United Kingdom,Manchester,Metal,1,3.19,2.55,0.0,2023,1,January,Sunday,8
TXN004136,USR48630,2023-01-08,16:42:30,Purchase,Travel,682.17,GBP,Successful,Bank Transfer,18-24,United Kingdom,Glasgow,Standard,0,10.23,8.18,0.0,2023,1,January,Sunday,16
TXN008421,USR86595,2023-01-08,19:58:59,Purchase,Entertainment,758.23,GBP,Successful,Bank Transfer,35-44,United Kingdom,Liverpool,Standard,0,11.37,9.1,0.0,2023,1,January,Sunday,19
TXN008458,USR19108,2023-01-08,2:16:08,Top-up,Healthcare,350.35,EUR,Successful,Apple Pay,45-54,Germany,Frankfurt,Standard,0,5.26,4.21,0.0,2023,1,January,Sunday,2
TXN011959,USR94984,2023-01-08,18:31:45,Purchase,Entertainment,674.91,GBP,Successful,Apple Pay,18-24,United Kingdom,Bristol,Metal,0,1.35,1.08,10.12,2023,1,January,Sunday,18
TXN003707,USR56634,2023-01-08,16:34:15,Purchase,Travel,782.63,GBP,Successful,Bank Transfer,18-24,United Kingdom,Leeds,Standard,0,11.74,9.39,0.0,2023,1,January,Sunday,16
TXN001002,USR36931,2023-01-08,17:19:28,Purchase,Utilities,1125.7,EUR,Successful,Apple Pay,25-34,France,Bordeaux,Premium,0,5.63,4.5,11.26,2023,1,January,Sunday,17
TXN002051,USR14471,2023-01-08,4:57:10,Purchase,Shopping,476.76,USD,Successful,Google Pay,45-54,United States,Los Angeles,Standard,0,7.15,5.72,0.0,2023,1,January,Sunday,4
TXN012063,USR14514,2023-01-08,7:24:35,Transfer,Healthcare,751.56,GBP,Successful,Apple Pay,45-54,United Kingdom,Edinburgh,Standard,0,11.27,9.02,0.0,2023,1,January,Sunday,7
